,HMV23/000059/0923/1,HMV23/000059/0923/2,HMV23/000059/0923/3,HMV23/000059/0923/4,HMV23/000059/0923/5,HMV23/000059/0923/6,HMV23/000059/0923/7,HMV23/000059/0923/8,HMV23/000059/0923/9,HMV23/000059/0923/10,HMV23/000059/0923/11,HMV23/000059/0923/12,HMV23/000059/0923/13,HMV23/000059/0923/14,HMV23/000059/0923/15,HMV23/000059/0923/16,HMV23/000059/0923/17,HMV23/000059/0923/18,HMV23/000059/0923/19,HMV23/000059/0923/20,HMV23/000059/0923/21,HMV23/000055/0923/1,HMV23/000055/0923/2,HMV23/000055/0923/3,HMV23/000055/0923/4,HMV23/000055/0923/5,HMV23/000055/0923/6,HMV23/000055/0923/7,HMV23/000055/0923/8,HMV23/000055/0923/9,HMV23/000055/0923/10,HMV23/000055/0923/11,HMV23/000055/0923/12,HMV23/000055/0923/13,HMV23/000055/0923/14,HMV23/000055/0923/15,HMV23/000055/0923/16,HMV23/000055/0923/17,HMV23/000055/0923/18,HMV23/000055/0923/19,HMV23/000055/0923/20,HMV23/000055/0923/21,HMV23/000055/0923/22,HMV23/000055/0923/23,HMV23/000055/0923/24,HMV23/000055/0923/25,HMV23/000055/0923/26,HMV23/000043/0823/1,HMV23/000043/0823/2,HMV23/000043/0823/3,HMV23/000043/0823/4,HMV23/000043/0823/5,HMV23/000043/0823/6,HMV23/000043/0823/7,HMV23/000043/0823/8,HMV23/000043/0823/9,HMV23/000043/0823/10,HMV23/000043/0823/11,HMV23/000043/0823/12,HMV23/000043/0823/13,HMV23/000043/0823/14,HMV23/000043/0823/15
HMV23/000043/0823/8,0.2097218733002016,0.03699105997054867,0.04368699458240178,0.06039680312003143,0.1564039041162824,0.03355717700399399,0.09368235884879755,0.040265822573729015,0.026705994719324652,0.01638601957997774,0.053755402328993326,0.023458524045907148,0.08702805952472212,0.048525212176684984,0.044965409039828035,0.08235355915040031,0.03434178961752948,0.0,0.046403368987068976,0.03002402491379348,0.060023311481284466,0.1070689152977271,0.25820527111555736,0.057043129590010996,0.05959112184308378,0.07193073521685192,0.21254936066457122,0.08774714881277926,0.11821278746781186,0.09390803203623264,0.07373489154507504,0.07508223145764709,0.08442791430689242,0.025422467210421813,0.025064811108877687,0.06036971254820558,0.04606816783049118,0.08853530237489604,0.13065334431489778,0.0767511159842721,0.0806475299153435,0.05210782129765283,0.016240494578932608,0.08351499005868754,0.020479439684685977,0.032553460476871264,0.01855650182754259,0.05817282862689562,0.0578459326808132,0.016996080238190867,0.046877375453928484,0.016292666408162015,0.3347356794411535,0.3381660143166785,1.0000000000000002,0.6201513435559656,0.3859846722625475,0.26610445675569233,0.17506141275060788,0.06453510379639471,0.04401924649008304,0.0
HMV23/000043/0823/9,0.2478799262726024,0.02668285430036833,0.04513866813241208,0.0546276510039274,0.1930613554185677,0.04364535630637806,0.04586551254473225,0.044672567159882826,0.059037908169966555,0.01398723429338222,0.026902450734950047,0.0178674759265854,0.08836756914316539,0.12561201074565326,0.058156498106281845,0.1102151193579321,0.04107062685739417,0.023174911586475243,0.029930427414073184,0.057520361485722864,0.1127490131559495,0.13873624028183285,0.2949356157827565,0.041161080486994635,0.07651477611753119,0.04127361199566723,0.2375554423152346,0.09630277675116794,0.15500462460749176,0.10341857971889468,0.06756318890633743,0.03675916224916238,0.04133467186728568,0.007384030868913124,0.038559016611889964,0.030212651144743287,0.06021816638993199,0.10716186518938184,0.07859984887109114,0.11947457031656682,0.11716360405028371,0.0487777356247502,0.013863013015894541,0.10810285684041043,0.015598419356648584,0.03893189734876404,0.031238530446427302,0.07956518028526365,0.07594474290389482,0.04491868022864819,0.05681853971663917,0.02932022190720842,0.48403567317910995,0.2928938439125498,0.6201513435559656,1.0,0.4140239428094038,0.2817214522381609,0.19019072183667876,0.08000923381541901,0.043391990396327934,0.013272643819878171
HMV23/000043/0823/10,0.21735866010141977,0.05410588751065358,0.06273218662520356,0.1250214081963273,0.2465761586626337,0.07881007703504381,0.0918240751252583,0.09092289141219707,0.09443603003410705,0.05710279306292189,0.07073725631139877,0.021054905005900817,0.07773843493801977,0.15642496881033055,0.0641768037318428,0.08209242457622325,0.08517254688809217,0.06294799930787089,0.04342818743945291,0.09907709999406338,0.16695445294758526,0.10064423907866112,0.23418501600284114,0.07585835820514146,0.12890769069775704,0.08728186190700166,0.29755083200384064,0.08782506926804945,0.11256358907816987,0.09401333588911086,0.09363805420719282,0.0735928999510617,0.08275320179007711,0.016090705804536483,0.05902576673554738,0.07944109140570273,0.09737196833913596,0.0646674216507839,0.06059570311584457,0.09130153446049885,0.0895355120706377,0.11352613094231218,0.05659566050521912,0.06207779254461096,0.018381065078575124,0.08073723500480273,0.04583089990555647,0.11451336540689037,0.06877027360288433,0.05260272210268913,0.07048375378700719,0.03161513921635691,0.144193051671058,0.5981499215903747,0.3859846722625475,0.4140239428094038,1.0,0.45941320600478813,0.2645456963304328,0.12205156146243734,0.07008447843531067,0.04700306703190379
HMV23/000043/0823/11,0.21986507539107003,0.1429132717562147,0.0991519041480517,0.2271147124057099,0.17890409685780467,0.07156991463876378,0.10880225888872017,0.07773808620114396,0.07812444410193668,0.11310866482672642,0.08759781225829469,0.02478438873067315,0.16343965593042925,0.14123018320093517,0.1633518281156354,0.1377523392859848,0.13657355014739322,0.01815483453466884,0.04833376216777337,0.11622124194909711,0.14321006072269582,0.10714815366259725,0.25589863972029814,0.21512795581694005,0.16152549158377894,0.23080131485191535,0.2313207118035548,0.08837031719142419,0.09716601579671551,0.08788961239533084,0.1978163182186815,0.08720015684257701,0.09805418974002592,0.01264486774668457,0.05445972212218494,0.09522449637017835,0.1218664482310749,0.11649923787339994,0.11696028857831808,0.1431359742000098,0.10106473898040369,0.1989558166063752,0.11210414152033199,0.11635685058152663,0.021636927930262877,0.12946156028629813,0.0633893652511737,0.15715959660766812,0.054261495231055806,0.024209475155908797,0.09087264150328897,0.016208741498111447,0.13098964135113073,0.36154028043326936,0.26610445675569233,0.2817214522381609,0.45941320600478813,1.0,0.22707287155993836,0.18752276209217955,0.09590593526755407,0.022757225400161472
HMV23/000043/0823/12,0.511129498764664,0.08924868708558173,0.06320703908014431,0.12543888318898555,0.654483086776016,0.08467782585737045,0.08945534591889795,0.09326451010560129,0.09114822904500795,0.10270341537857351,0.09178642207343644,0.04823057312107816,0.11795149576968655,0.11045689950050958,0.07603290885904923,0.09899172816487406,0.21526357602320667,0.021028115593481656,0.09331699634504796,0.09674581730402904,0.09994221138419981,0.10793229905809469,0.8808164681733122,0.09843865350393427,0.11570722784548543,0.11572552251650765,0.8698504844807792,0.06267996622420319,0.10257863353163418,0.06720651258734764,0.10187842094716015,0.07169446916091171,0.08061846832575857,0.07924266011950055,0.08002153455130268,0.09942967895695126,0.11602373307479966,0.07041134202906803,0.08304327908716663,0.09192795231177664,0.09014981328053259,0.12413470820127606,0.10179130157586769,0.07447254544357225,0.04210559501774319,0.2040538478694911,0.09322736866072298,0.11932090487776112,0.04400153059441818,0.02513007321696488,0.08188901083422151,0.018626930597585818,0.15997912824775212,0.17345749443166664,0.17506141275060788,0.19019072183667876,0.2645456963304328,0.22707287155993836,0.9999999999999998,0.15135801794593232,0.06105153864653033,0.018915039362919616
HMV23/000043/0823/13,0.13719275502874387,0.16192128279150453,0.29925894416426024,0.196722804646579,0.12370177937824461,0.07592352358922941,0.1042137093452063,0.08873000554863422,0.08964996923388474,0.07935865233033199,0.1337379022401471,0.031767791873343394,0.1610240756215528,0.17721681284321944,0.17786713783081204,0.08066677892642113,0.2041877261505122,0.015606200679003876,0.03969012267972212,0.08402350135844677,0.12043977016414323,0.10474631331568776,0.13845793334772627,0.10969086983496013,0.1124756607555689,0.15468656809966633,0.14809629050121167,0.10122339354373491,0.11874937265510462,0.10026708163701939,0.17134375215071568,0.08352263907813813,0.09391892166593757,0.01017240035033775,0.06312622652750971,0.14407593903530413,0.18284502564432817,0.2554061949085422,0.08095500171939607,0.11281539306733321,0.1106332335751059,0.12162237154697088,0.07865386445265708,0.05297799725469533,0.027733482989493644,0.2174519672924387,0.061898521952045,0.1552752546266056,0.09641459047369588,0.04094672985369665,0.16891872061429175,0.03144659720795953,0.05513679424861342,0.11501608807270584,0.06453510379639471,0.08000923381541901,0.12205156146243734,0.18752276209217955,0.15135801794593232,0.9999999999999999,0.12587426010375172,0.027198830338554886
HMV23/000043/0823/14,0.06206672420759972,0.18078777950932692,0.03623739666575281,0.13959056698025263,0.05679075147453867,0.052540547956675426,0.08970187253650051,0.05969483619642457,0.08027421511078955,0.05459103487083207,0.07388305692594896,0.019788006664173744,0.0653852699432694,0.3077202279949282,0.07228853859367446,0.02461104756813557,0.11362133696992473,0.10630185317602533,0.016922898114851592,0.033444537822262116,0.09035707838032976,0.0311985470425067,0.06413194165504656,0.05583999460767427,0.0606240530174466,0.0780445851527198,0.06219362656313547,0.028290283779225968,0.07198826437369074,0.047676415514908733,0.08188751900825934,0.05066855524476695,0.08084064172533012,0.051208088144423264,0.07269624412407738,0.08076694703355235,0.10458823237332192,0.04236360788470257,0.06132725154558444,0.023322637825343114,0.022871513965995512,0.09299102393169376,0.05410620935430821,0.014342286880651178,0.01727505482297445,0.10770457054141727,0.02622601160109051,0.07081286004781612,0.03188839587714791,0.020062681470395676,0.01594156254171042,0.030100784135603458,0.02913168805469921,0.058258589275455616,0.04401924649008304,0.043391990396327934,0.07008447843531067,0.09590593526755407,0.06105153864653033,0.12587426010375172,1.0000000000000002,0.013695904677480476
HMV23/000043/0823/15,0.02004393657787986,0.014342884854978935,0.006076004911226258,0.017070712857422475,0.014174119846190153,0.02649813058546587,0.005392300152604927,0.024206651667767635,0.02036944118722891,0.004924185099905754,0.006055768707583779,0.011487552178159277,0.011846750181120167,0.03226820586267414,0.01586366192507077,0.01746227935866329,0.01487408434196027,0.2096167604110021,0.0,0.009522651249227423,0.018752049412923744,0.020654940813331902,0.019869412429536038,0.02511076377809365,0.013812503267026984,0.018094266853317355,0.01926888200763286,0.010652284748773633,0.01849949520419098,0.009514244067448992,0.0056509117893016846,0.004321688022399592,0.004859619898512143,0.005381346888441395,0.010355918686881186,0.006800898147832678,0.014334192434014535,0.0012289941003376863,0.005375018415809233,0.010515242318454,0.010311848657230928,0.027267039545782693,0.004880453183297658,0.009310109147981934,0.0100287056209038,0.014099524868922263,0.02000732831501586,0.026367314196843898,0.0166982799677465,0.005283231785648012,0.019865677783904433,0.005064575586501446,0.017366017186208074,0.010784123005095198,0.0,0.013272643819878171,0.04700306703190379,0.022757225400161472,0.018915039362919616,0.027198830338554886,0.013695904677480476,1.0000000000000002
